id,accuracy,precision,recall,f1_score,f1_macro,true_positives,false_positives,true_negatives,false_negatives,runtime,max_depth,min_child_weight,learning_rate,n_estimators,proportion
1,0.4390804597701149,0.4242424242424242,0.2052785923753665,0.2766798418972332,0.4093036255794051,140,190,433,542,5.924695014953613,2,1,0.1,100,0.1
2,0.4337164750957854,0.4259740259740259,0.2404692082111437,0.3074039362699157,0.4142334004097472,164,221,402,518,5.819254159927368,2,1,0.1,300,0.1
3,0.5226053639846743,0.7034482758620689,0.1495601173020528,0.2466747279322853,0.4486318115264343,102,43,580,580,1.4464495182037354,2,1,0.01,100,0.1
4,0.4835249042145594,0.513986013986014,0.2155425219941349,0.3037190082644628,0.4466219889068964,147,139,484,535,3.357338190078736,2,1,0.01,300,0.1
5,0.4444444444444444,0.4373177842565597,0.219941348973607,0.2926829268292683,0.4176348388089559,150,193,430,532,2.1948704719543457,2,3,0.1,100,0.1
6,0.4352490421455938,0.4289405684754522,0.2434017595307918,0.3105706267539757,0.416154878594379,166,221,402,516,4.33704400062561,2,3,0.1,300,0.1
7,0.5226053639846743,0.7034482758620689,0.1495601173020528,0.2466747279322853,0.4486318115264343,102,43,580,580,2.311058759689331,2,3,0.01,100,0.1
8,0.4919540229885057,0.5350553505535055,0.2126099706744868,0.304302203567681,0.4520907517536655,145,126,497,537,4.223544836044312,2,3,0.01,300,0.1
9,0.4084291187739464,0.3928571428571428,0.2419354838709677,0.2994555353901997,0.3937595979338266,165,255,368,517,3.125875949859619,4,1,0.1,100,0.1
10,0.4137931034482758,0.3938618925831202,0.2258064516129032,0.2870456663560111,0.3946614148305755,154,237,386,528,4.934922456741333,4,1,0.1,300,0.1
11,0.4988505747126436,0.5729166666666666,0.1612903225806451,0.251716247139588,0.4374940682702548,110,82,541,572,2.169451951980591,4,1,0.01,100,0.1
12,0.3831417624521073,0.3599088838268792,0.2316715542521994,0.2818911685994647,0.3706299362137686,158,281,342,524,7.017277717590332,4,1,0.01,300,0.1
13,0.4651340996168582,0.4757575757575757,0.2302052785923753,0.3102766798418973,0.4367403424240775,157,173,450,525,3.042264938354492,4,3,0.1,100,0.1
14,0.432183908045977,0.4213333333333333,0.2316715542521994,0.2989593188268685,0.4109091507205817,158,217,406,524,6.57813286781311,4,3,0.1,300,0.1
15,0.5049808429118774,0.5918367346938775,0.1700879765395894,0.2642369020501138,0.4456288436347567,116,80,543,566,2.127704381942749,4,3,0.01,100,0.1
16,0.3877394636015325,0.3642691415313225,0.2302052785923753,0.2821203953279425,0.3741931301957013,157,274,349,525,5.885979890823364,4,3,0.01,300,0.1
17,0.3977011494252873,0.3790697674418604,0.2390029325513196,0.2931654676258993,0.3842329340799723,163,267,356,519,4.737867832183838,6,1,0.1,100,0.1
18,0.4206896551724138,0.4046391752577319,0.2302052785923753,0.2934579439252336,0.4012744265080713,157,231,392,525,11.632498741149902,6,1,0.1,300,0.1
19,0.4505747126436781,0.4334600760456273,0.1671554252199413,0.2412698412698412,0.4053196053196053,114,149,474,568,6.515750169754028,6,1,0.01,100,0.1
20,0.403831417624521,0.3811881188118812,0.2258064516129032,0.283609576427256,0.386555444381607,154,250,373,528,14.569265842437744,6,1,0.01,300,0.1
21,0.4551724137931034,0.4553846153846154,0.2170087976539589,0.2939424031777557,0.425199523485322,148,177,446,534,4.2306318283081055,6,3,0.1,100,0.1
22,0.4398467432950191,0.4317548746518105,0.2272727272727272,0.297790585975024,0.4159443688319989,155,204,419,527,6.19591212272644,6,3,0.1,300,0.1
23,0.4666666666666667,0.4744525547445255,0.1906158357771261,0.2719665271966527,0.4255842309502006,130,144,479,552,5.167847633361816,6,3,0.01,100,0.1
24,0.389272030651341,0.3580246913580246,0.2126099706744868,0.2667893284268629,0.3717400351917637,145,260,363,537,17.81846857070923,6,3,0.01,300,0.1
25,0.4168582375478927,0.401985111662531,0.2375366568914956,0.2986175115207373,0.3998005590390572,162,241,382,520,11.949396133422852,10,1,0.1,100,0.1
26,0.4559386973180077,0.4554140127388535,0.2096774193548387,0.28714859437751,0.4236238634836745,143,171,452,539,21.773945093154907,10,1,0.1,300,0.1
27,0.4298850574712644,0.3959731543624161,0.1730205278592375,0.2408163265306122,0.3921873043696005,118,180,443,564,16.149773120880127,10,1,0.01,100,0.1
28,0.4160919540229885,0.3958333333333333,0.2228739002932551,0.2851782363977486,0.3958274601677862,152,232,391,530,38.41410803794861,10,1,0.01,300,0.1
29,0.4544061302681992,0.4542682926829268,0.218475073313783,0.295049504950495,0.4250247524752475,149,179,444,533,9.347076177597046,10,3,0.1,100,0.1
