,max_depth,min_child_weight,learning_rate,n_estimators,scaler,accuracy,precision,recall,f1_score,f1_macro,true_positives,false_positives,true_negatives,false_negatives,runtime,id
0,2,1,0.001,25,StandardScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.28891921043395996,0
1,2,1,0.001,25,MinMaxScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.2109363079071045,1
2,2,1,0.001,25,RobustScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.31697916984558105,2
3,2,1,0.001,50,StandardScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.30265259742736816,3
4,2,1,0.001,50,MinMaxScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.289628267288208,4
5,2,1,0.001,50,RobustScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.29762744903564453,5
6,2,1,0.001,75,StandardScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.38040828704833984,6
7,2,1,0.001,75,MinMaxScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.3478066921234131,7
8,2,1,0.001,75,RobustScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.4097859859466553,8
9,2,1,0.001,100,StandardScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.47257280349731445,9
10,2,1,0.001,100,MinMaxScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.3786633014678955,10
11,2,1,0.001,100,RobustScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.4337480068206787,11
12,2,1,0.01,25,StandardScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.18801641464233398,12
13,2,1,0.01,25,MinMaxScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.18522357940673828,13
14,2,1,0.01,25,RobustScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.2106335163116455,14
15,2,1,0.01,50,StandardScaler,0.679144385026738,0.555,0.12039045553145336,0.19786096256684493,0.49866310160427807,111,89,1794,811,0.24001336097717285,15
16,2,1,0.01,50,MinMaxScaler,0.679144385026738,0.555,0.12039045553145336,0.19786096256684493,0.49866310160427807,111,89,1794,811,0.2414553165435791,16
17,2,1,0.01,50,RobustScaler,0.679144385026738,0.555,0.12039045553145336,0.19786096256684493,0.49866310160427807,111,89,1794,811,0.288043737411499,17
18,2,1,0.01,75,StandardScaler,0.6802139037433155,0.5464684014869888,0.1594360086767896,0.24685138539042822,0.5219321421181605,147,122,1761,775,0.3140437602996826,18
19,2,1,0.01,75,MinMaxScaler,0.6802139037433155,0.5464684014869888,0.1594360086767896,0.24685138539042822,0.5219321421181605,147,122,1761,775,0.3084850311279297,19
20,2,1,0.01,75,RobustScaler,0.6802139037433155,0.5464684014869888,0.1594360086767896,0.24685138539042822,0.5219321421181605,147,122,1761,775,0.36335110664367676,20
21,2,1,0.01,100,StandardScaler,0.6994652406417112,0.5817805383022774,0.3047722342733189,0.4,0.5997621878715815,281,202,1681,641,0.3999662399291992,21
22,2,1,0.01,100,MinMaxScaler,0.6994652406417112,0.5817805383022774,0.3047722342733189,0.4,0.5997621878715815,281,202,1681,641,0.39944982528686523,22
23,2,1,0.01,100,RobustScaler,0.6994652406417112,0.5817805383022774,0.3047722342733189,0.4,0.5997621878715815,281,202,1681,641,0.43030858039855957,23
24,2,1,0.1,25,StandardScaler,0.6135472370766488,0.40097799511002447,0.3557483731019523,0.37701149425287356,0.5484540675398735,328,490,1393,594,0.1815180778503418,24
25,2,1,0.1,25,MinMaxScaler,0.6135472370766488,0.40097799511002447,0.3557483731019523,0.37701149425287356,0.5484540675398735,328,490,1393,594,0.1648111343383789,25
26,2,1,0.1,25,RobustScaler,0.6135472370766488,0.40097799511002447,0.3557483731019523,0.37701149425287356,0.5484540675398735,328,490,1393,594,0.21706771850585938,26
27,2,1,0.1,50,StandardScaler,0.6427807486631016,0.44579945799457993,0.35683297180043383,0.3963855421686746,0.5713573280463626,329,409,1474,593,0.24196600914001465,27
28,2,1,0.1,50,MinMaxScaler,0.6427807486631016,0.44579945799457993,0.35683297180043383,0.3963855421686746,0.5713573280463626,329,409,1474,593,0.25907182693481445,28
29,2,1,0.1,50,RobustScaler,0.6427807486631016,0.44579945799457993,0.35683297180043383,0.3963855421686746,0.5713573280463626,329,409,1474,593,0.2921764850616455,29
30,2,1,0.1,75,StandardScaler,0.647415329768271,0.45327754532775455,0.3524945770065076,0.39658328248932273,0.5737638145007681,325,392,1491,597,0.3088052272796631,30
31,2,1,0.1,75,MinMaxScaler,0.647415329768271,0.45327754532775455,0.3524945770065076,0.39658328248932273,0.5737638145007681,325,392,1491,597,0.29947876930236816,31
32,2,1,0.1,75,RobustScaler,0.647415329768271,0.45327754532775455,0.3524945770065076,0.39658328248932273,0.5737638145007681,325,392,1491,597,0.3350362777709961,32
33,2,1,0.1,100,StandardScaler,0.6413547237076649,0.44246575342465755,0.35032537960954446,0.39104116222760293,0.5684361950602391,323,407,1476,599,0.39203357696533203,33
34,2,1,0.1,100,MinMaxScaler,0.6413547237076649,0.44246575342465755,0.35032537960954446,0.39104116222760293,0.5684361950602391,323,407,1476,599,0.3537440299987793,34
